"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 31 18:30:36 EET 2022","Mon Oct 31 18:30:39 EET 2022","2601","Default Suite","Qualitest_interview","org.interview.WebSiteTest_e2e","org.interview.WebSiteTest_e2e","check_second_request","check_second_request","Second point in the acceptance criteria - check no of products in cart"
"passed","Mon Oct 31 18:30:46 EET 2022","Mon Oct 31 18:30:50 EET 2022","3883","Default Suite","Qualitest_interview","org.interview.WebSiteTest_e2e","org.interview.WebSiteTest_e2e","validate_full_acceptance_criteria","validate_full_acceptance_criteria","e2e flow should be successful"
"passed","Mon Oct 31 18:30:25 EET 2022","Mon Oct 31 18:30:28 EET 2022","2823","Default Suite","Qualitest_interview","org.interview.WebSiteTest_e2e","org.interview.WebSiteTest_e2e","check_first_request","check_first_request","First point in the acceptance criteria - add random items to cart"
